City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Fairbanks,US,64.8378,-147.7164,81.09,48,75,6.91,smoke
141,Yulara,AU,-25.2406,130.9889,45.25,60,0,16.73,clear sky
142,Qianan,CN,44.9932,124.0581,79.29,68,7,13.58,clear sky
143,East London,ZA,-33.0153,27.9116,70.9,41,0,9.26,clear sky
144,Mountrath,IE,52.9989,-7.4728,54.45,88,77,6.8,broken clouds
145,Katakwi,UG,1.8911,33.9661,64.18,87,45,3.89,scattered clouds
146,Carnarvon,AU,-24.8667,113.6333,58.82,43,0,17.29,clear sky
147,Jalu,LY,29.0331,21.5482,83.44,41,29,7.2,scattered clouds
148,Kondinskoye,RU,59.6481,67.41,57.24,80,100,2.17,overcast clouds
149,New Norfolk,AU,-42.7826,147.0587,45.9,85,43,2.98,scattered clouds
150,Tommot,RU,58.9564,126.2925,80.11,62,42,2.17,scattered clouds
151,Chernyshevsk,RU,52.5243,117.0174,77.86,53,97,1.83,overcast clouds
152,Georgetown,MY,5.4112,100.3354,83.89,87,20,2.3,few clouds
153,Sungaipenuh,ID,-2.0833,101.3833,62.89,92,82,2.3,broken clouds
154,Launceston,AU,-41.45,147.1667,31.64,100,100,4.61,overcast clouds
155,Kosmach,UA,48.7509,24.3673,60.98,96,86,2.82,overcast clouds
156,Lompoc,US,34.6391,-120.4579,82.56,76,0,21.99,clear sky
157,Kieta,PG,-6.2167,155.6333,85.03,70,23,8.08,light rain
158,Lugovoy,KZ,42.9472,72.7644,68.25,36,0,5.55,clear sky
159,Pringsewu,ID,-5.3582,104.9744,73.35,95,57,1.99,broken clouds
160,Cidreira,BR,-30.1811,-50.2056,61.92,93,75,10.02,broken clouds
161,Moose Factory,CA,51.2585,-80.6094,59.0,58,100,5.75,overcast clouds
162,Eten,PE,-6.9081,-79.8642,66.45,68,0,13.8,clear sky
163,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,16.11,scattered clouds
164,Road Town,VG,18.4167,-64.6167,82.44,78,75,13.8,broken clouds
165,Vertou,FR,47.1687,-1.4693,57.18,94,0,6.91,clear sky
166,Makakilo City,US,21.3469,-158.0858,86.32,48,0,16.11,clear sky
167,Komsomolskiy,UZ,40.4272,71.7189,74.12,31,0,9.22,clear sky
168,Sorland,NO,67.667,12.6934,53.46,93,83,19.24,broken clouds
169,Yilan,TW,24.757,121.753,84.06,77,100,1.68,overcast clouds
170,Kologriv,RU,58.8275,44.3178,52.77,98,40,5.32,scattered clouds
171,Ushtobe,KZ,45.2514,77.9838,68.05,29,57,4.61,broken clouds
172,Barrow,US,71.2906,-156.7887,50.02,76,0,12.66,clear sky
173,Rakaia,NZ,-43.75,172.0167,55.29,60,30,4.18,scattered clouds
174,Gurupa,BR,-1.405,-51.64,75.9,85,58,3.33,broken clouds
175,Aksu,CN,41.1231,80.2644,77.65,30,11,6.4,few clouds
176,Kuala Lipis,MY,4.1842,102.0468,76.15,87,99,0.13,overcast clouds
177,Sinnamary,GF,5.3833,-52.95,77.86,89,82,9.55,broken clouds
178,Poya,NC,-21.35,165.15,79.9,67,95,5.35,overcast clouds
179,General Roca,AR,-39.0333,-67.5833,49.62,25,90,13.06,overcast clouds
180,Jinchang,CN,38.4953,102.1739,75.0,29,52,13.33,broken clouds
181,Qaanaaq,GL,77.484,-69.3632,37.78,98,100,5.5,light rain
182,Talnakh,RU,69.4865,88.3972,52.21,65,70,15.23,broken clouds
183,Kudahuvadhoo,MV,2.6708,72.8944,82.08,76,100,9.66,overcast clouds
184,Sitka,US,57.0531,-135.33,63.75,76,84,5.35,broken clouds
185,Mar Del Plata,AR,-38.0023,-57.5575,43.95,73,0,3.44,clear sky
186,Bam,IR,29.106,58.357,93.13,14,55,4.74,broken clouds
187,Sur,OM,22.5667,59.5289,88.39,64,100,8.77,overcast clouds
188,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,0.0,light rain
189,Kahului,US,20.8947,-156.47,87.82,58,40,28.77,scattered clouds
190,Holme,DK,56.1138,10.1725,60.37,76,97,6.13,overcast clouds
191,Madinat Sittah Uktubar,EG,29.8167,31.05,80.2,56,0,7.61,clear sky
192,Rabo De Peixe,PT,37.8,-25.5833,68.27,86,75,6.91,broken clouds
193,Udachnyy,RU,66.4167,112.4,64.45,82,100,4.7,overcast clouds
194,Gasa,PS,31.5,34.4667,75.69,77,0,1.81,clear sky
195,Traralgon,AU,-38.1833,146.5333,47.8,75,15,2.8,few clouds
196,Iroquois Falls,CA,48.7669,-80.6831,55.22,67,38,12.21,scattered clouds
197,Padang,ID,-0.9492,100.3543,69.85,80,71,4.27,broken clouds
198,Port Moresby,PG,-9.4431,147.1797,81.82,74,20,3.44,haze
199,Riyadh,SA,24.6877,46.7219,89.74,15,48,8.25,scattered clouds
200,Saint George,US,37.1041,-113.5841,104.63,11,0,18.41,clear sky
201,Laiyang,CN,36.9758,120.7136,79.07,79,95,11.34,overcast clouds
202,Chicama,PE,-7.8447,-79.1469,61.34,79,26,5.17,scattered clouds
203,Severo-Kurilsk,RU,50.6789,156.125,52.32,88,60,12.33,broken clouds
204,Henties Bay,NA,-22.116,14.2845,58.1,90,0,6.91,clear sky
205,Aracaju,BR,-10.9111,-37.0717,78.75,73,75,13.8,broken clouds
206,Miami Beach,US,25.7906,-80.1301,86.02,73,40,12.66,scattered clouds
207,Hamilton,US,39.1834,-84.5333,85.44,61,0,5.75,clear sky
208,Lukovetskiy,RU,64.2956,41.9211,49.64,89,7,3.02,clear sky
209,Yate,GB,51.5407,-2.4184,54.99,87,16,4.79,few clouds
210,Maun,BW,-19.9833,23.4167,60.76,63,0,3.44,clear sky
211,Adrar,MR,20.5022,-10.0711,93.88,19,6,7.92,clear sky
212,Nadym,RU,65.5333,72.5167,42.58,82,98,18.84,overcast clouds
213,Hualmay,PE,-11.0964,-77.6139,62.42,82,34,7.99,scattered clouds
214,Nouadhibou,MR,20.931,-17.0347,67.98,83,0,16.11,clear sky
215,Uglich,RU,57.5275,38.3317,59.0,96,75,5.79,broken clouds
216,Honiara,SB,-9.4333,159.95,87.3,59,12,8.72,few clouds
217,Ribeira Grande,PT,38.5167,-28.7,66.88,85,1,13.53,clear sky
218,Rassvet,RU,46.8333,40.75,58.57,76,1,0.67,clear sky
219,Batagay-Alyta,RU,67.8006,130.4114,70.54,40,87,5.86,overcast clouds
220,Mount Gambier,AU,-37.8333,140.7667,50.29,68,100,6.31,overcast clouds
221,Messina,IT,38.1933,15.5497,82.6,77,20,14.97,few clouds
222,Klaksvik,FO,62.2266,-6.589,47.32,91,100,23.06,light rain
223,Tabuk,PH,17.4189,121.4443,79.38,83,100,3.22,overcast clouds
224,Lavrentiya,RU,65.5833,-171.0,48.36,84,100,6.08,overcast clouds
225,Nome,US,64.5011,-165.4064,58.15,94,100,4.61,mist
226,Tancheng,CN,27.4375,115.4976,78.69,90,100,1.28,overcast clouds
227,San Cristobal,VE,7.7669,-72.225,77.18,98,96,3.67,overcast clouds
228,Sinnai,IT,39.3042,9.2036,76.48,75,0,4.61,clear sky
229,Port Elizabeth,ZA,-33.918,25.5701,62.31,87,0,11.5,clear sky
230,Mbanza-Ngungu,CD,-5.25,14.8667,66.27,78,100,8.81,overcast clouds
231,Ullapool,GB,57.8987,-5.1604,53.35,94,99,6.46,overcast clouds
232,Mahebourg,MU,-20.4081,57.7,70.09,64,40,14.97,scattered clouds
233,Lyuban,BY,52.7985,28.0048,63.81,75,76,6.35,broken clouds
234,Shintomi,JP,32.0785,131.4723,79.92,93,100,4.14,moderate rain
235,Fredericksburg,US,38.3032,-77.4605,88.61,58,40,5.75,scattered clouds
236,Miranda,CO,3.2499,-76.2281,77.13,90,100,5.59,overcast clouds
237,Chipinge,ZW,-20.1883,32.6236,50.95,95,13,3.24,few clouds
238,Hofn,IS,64.2539,-15.2082,53.94,70,100,13.31,overcast clouds
239,Bambey,SN,14.6955,-16.4493,80.65,62,64,6.91,broken clouds
240,Mount Pleasant,US,32.7941,-79.8626,86.18,82,0,12.66,clear sky
241,Taoudenni,ML,22.6783,-3.9836,97.81,12,29,12.93,scattered clouds
242,Thompson,CA,55.7435,-97.8558,64.56,55,75,2.3,broken clouds
243,Yar-Sale,RU,66.8333,70.8333,45.14,76,100,15.32,overcast clouds
244,Breves,BR,-1.6822,-50.4803,77.04,85,62,3.22,broken clouds
245,Bairiki,KI,1.3292,172.9752,80.6,89,40,14.97,light rain
246,Yantai,CN,37.5333,121.4,76.3,82,100,10.76,overcast clouds
247,Margate,GB,51.3813,1.3862,59.31,83,13,1.99,few clouds
