City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Havoysund,NO,75.43,clear sky,70.9963,24.6622,Arctic View Glamping & Restaurant
422,Belmonte,BR,73.22,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
424,San Severino Marche,IT,77.74,scattered clouds,43.2281,13.1802,Due Torri
425,Tecoanapa,MX,84.78,broken clouds,16.5167,-98.75,Hotel Manglares
428,Suntar,RU,77.76,broken clouds,62.1444,117.6319,Гостевая квартира
431,Brejo,BR,73.0,overcast clouds,-3.6844,-42.7503,Hotel Santa Luzia
432,Pemba,MZ,70.95,light rain,-12.974,40.5178,Guesthouse Samotina
433,Nadapuram,IN,75.9,overcast clouds,11.7,75.6667,Fabina Garden
435,Havelock,US,82.38,overcast clouds,34.8791,-76.9013,Sherwood Motel
437,Santa Cruz,BO,78.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
439,Kavieng,PG,83.8,few clouds,-2.5744,150.7967,Nusa Island Retreat
440,Mahajanga,MG,71.62,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
441,Tateyama,JP,81.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
442,Srandakan,ID,76.77,broken clouds,-7.9386,110.2506,Puri Brata
445,Itaituba,BR,76.51,overcast clouds,-4.2761,-55.9836,Hotel Campos
447,Surab,PK,73.81,clear sky,28.4914,66.2585,Bismillah Hotel
448,Mabaruma,GY,73.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
454,Awjilah,LY,81.75,clear sky,29.1081,21.2869,المنزل
455,Camopi,GF,71.91,few clouds,3.1655,-52.3158,La pousada
456,Aldan,RU,78.48,few clouds,58.6031,125.3894,Aldan Guest House
458,Mecca,SA,87.12,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
460,Harper,LR,75.74,broken clouds,4.375,-7.7169,Screensaver
464,Nyurba,RU,77.49,broken clouds,63.2842,118.3319,"Гостиница ""Comfort"""
465,Kovacica,RS,72.9,light rain,45.1117,20.6214,Resort Relax
467,Pauini,BR,77.94,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
468,San,ML,82.36,broken clouds,13.3034,-4.8956,Hôtel Teriya
469,Garissa,KE,72.21,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
474,Kon Tum,VN,72.0,overcast clouds,14.35,108.0,Hoa đà spa- homestay
475,Esna,EG,84.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
477,Seoul,KR,80.2,scattered clouds,37.5683,126.9778,롯데호텔 서울
480,Sagua De Tanamo,CU,78.08,overcast clouds,20.5819,-75.2414,
483,Manokwari,ID,78.8,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
484,Japura,ID,72.7,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
486,Grand Forks,US,74.93,clear sky,47.9417,-97.4337,Warrior Inn
487,Trincomalee,LK,80.53,scattered clouds,8.5711,81.2335,Welcombe Hotel
488,Ketchikan,US,73.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
492,Summerland,CA,85.08,broken clouds,49.5998,-119.6691,Summerland Waterfront Resort Hotel
495,Rongcheng,CN,83.17,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
496,Latung,PH,84.25,overcast clouds,5.5,120.8833,
497,Olathe,US,81.72,overcast clouds,38.8814,-94.8191,Fairfield Inn & Suites by Marriott Kansas City Olathe
504,Cumbum,IN,75.25,overcast clouds,9.7333,77.3,Hotel Sagar Rooms
506,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
507,Dalbandin,PK,85.12,clear sky,28.8947,64.4101,Sanjrani House
508,Maragogi,BR,77.0,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
510,Grand Gaube,MU,70.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
512,Honningsvag,NO,74.95,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
513,Sangar,RU,72.0,broken clouds,63.9242,127.4739,
514,Aripuana,BR,75.7,scattered clouds,-9.1667,-60.6333,
517,Nisia Floresta,BR,79.18,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
519,College,US,81.09,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
520,Pestera,RO,71.71,few clouds,44.1833,28.1333,
521,Salinopolis,BR,77.81,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
524,Muisne,EC,74.86,broken clouds,0.6,-80.0333,Quinta Samay
527,Bardiyah,LY,76.86,clear sky,31.7561,25.0865,بورتو بردية
528,Coxim,BR,76.15,clear sky,-18.5067,-54.76,Hotel Avenida
530,Labuhan,ID,78.85,scattered clouds,-6.8844,112.2051,DoubleFAG
531,Veliko Gradiste,RS,73.45,clear sky,44.7567,21.5136,Romantika
533,Pacific Grove,US,78.39,few clouds,36.6177,-121.9166,Lovers Point Inn
535,Toledo,ES,78.42,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
536,Ust-Maya,RU,76.33,overcast clouds,60.4167,134.5333,
539,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
540,Tessalit,ML,89.47,scattered clouds,20.1986,1.0114,
542,Fuerte,PH,86.11,overcast clouds,17.5381,120.3644,Giordion Inn
543,Nova Olimpia,BR,76.86,broken clouds,-14.7972,-57.2881,Motel glamour
544,Puerto Leguizamo,CO,72.16,overcast clouds,-0.1934,-74.7819,la casona de juancho
546,Namatanai,PG,84.4,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
548,Leshan,CN,73.92,scattered clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
549,Kaka,TM,84.02,clear sky,37.3482,59.6143,
